building_id,street_address,postal_code,energy_star_score,property_name
785046000,67 E BRINGHURST ST,19144,87.0,Wister
785372800,4735 OLD YORK RD,19141,46.0,Cooke
785097400,1701 CHELTEN AVE,19126,29.0,Wagner
786106800,1001 DEVEREAUX AVE,19111,54.0,Carnell
786529200,5401 TABOR AVE,19120,70.0,Creighton
781518600,308 S 6TH ST,19106,59.0,McCall
785360600,1201 OAK LN,19126,58.0,Ellwood
786112400,5300 DITMAN ST,19124,52.0,Sullivan
785405400,3630 N RANDOLPH ST,19140,75.0,Taylor
785259000,6101 N GRATZ ST,19141,25.0,Prince Hall
784552600,6801 N 19TH ST,19126,59.0,Rowen
786249100,11061 KNIGHTS RD,19154,19.0,Fitzpatrick
785435800,140 W SEYMOUR ST,19144,16.0,Fitler
785056600,5400 N BROAD ST,19141,31.0,Widener
786482600,3201 RYAN AVE,19136,24.0,Lincoln HS
784471600,430 E WASHINGTON LN,19144,2.0,Roosevelt MS
772018000,1600 W GIRARD AVE,19130,30.0,St. Joseph's Hospital
778508000,3301 SOLLY AVE,19136,98.0,Father Judge High School
778271000,5400 E ROOSEVELT BLVD,19124,54.0,St. Martin of Tours Church
777247000,1001 W LUZERNE ST,19140,100.0,Little Flower Catholic High School
773235000,2100 S 21ST ST,19145,96.0,St. Edmond Church
786056200,10153 BUSTLETON AVE,19116,86.0,Washington HS
784167600,8317 GERMANTOWN AVE,19118,41.0,Jenks John
783072600,7001 BUIST AVE,19142,71.0,Patterson
786085600,2075 E CUMBERLAND ST,19125,45.0,Kensington HS Business-Urban
784269400,1100 E MOUNT PLEASANT AVE,19150,38.0,Leeds
786182000,1197 HAWORTH ST,19124,7.0,Edmunds HR
783600400,7501 WOODBINE AVE,19151,90.0,Lamberton
786590000,3801 WOODHAVEN RD,19154,7.0,Shallcross
777010000,3601 A ST,19134,77.0,St. Christophers Hospital for Children
775510500,8000 CHEROKEE ST,19118,68.0,Springside
775535510,403 W SPRINGFIELD AVE,19118,100.0,Chestnut Hill
783318200,5720 MEDIA ST,19131,13.0,Bluford
786546800,8725 VERREE RD,19115,86.0,Baldi
783288200,5901 MALVERN AVE,19131,12.0,Beeber
775001000,8835 GERMANTOWN AVE,19118,1.0,Chestnut Hill Hospital
782273400,1400 JOHN F KENNEDY BLVD,19102,84.0,City Hall
786456805,3899 RICHMOND ST,19137,100.0,Northeast Water Pollution Control Plant
785531800,330 E WYOMING AVE,19120,63.0,Barton
783782600,1034 S 60TH ST,19143,77.0,Anderson
771514000,1248 JACKSON ST,19148,100.0,Our Lady of Hope
884243500,2001 WOODHAVEN RD,19116,62.0,Raymour and Flanigan Woodhaven CSC
784408400,201 SPRING LN,19124,59.0,Lankenau
781398000,236 SPRING GARDEN ST,19123,6.0,Fire Administration
884588700,1400 N AMERICAN ST,19122,100.0,Crane Arts LLC
883051000,251 S 17TH ST,19103,67.0,Medical Tower Building
884604601,2400 N AMERICAN ST,19133,78.0,COFCO - 2400
882242000,9745R E ROOSEVELT BLVD,19114,61.0,Walmart Store #01-5130
883524700,642 N BROAD ST,19130,94.0,642 N. Broad St.
782405200,1801 W OXFORD ST,19121,46.0,Meade
786272100,401 W LEHIGH AVE,19133,56.0,deBurgos
781654210,2118 N 13TH ST,19122,44.0,Elverson (Military)
883073700,30 N 41ST ST,19104,78.0,2.0 University Place
883048000,230 S BROAD ST,19102,51.0,230 S. Broad
881134805,1007 W LEHIGH AVE,19133,49.0,1007-15 W. LEHIGH AVENUE
883359300,1163 S BROAD ST,19147,67.0,1163-65 S. BROAD STREET
884292544,12401 MCNULTY RD,19154,57.0,Westinghouse Lighting
