w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_pctbpSaved,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_pctbpSaved
1.0,3.0,70.0,47.0,18.0,84.61538461538461,6.0,2.0,67.0,43.0,11.0,60.0
4.0,4.0,52.0,36.0,14.0,50.0,6.0,5.0,71.0,46.0,15.0,70.58823529411765
6.0,1.0,39.0,33.0,10.0,0.0,1.0,4.0,36.0,25.0,9.0,25.0
3.0,5.0,40.0,29.0,9.0,25.0,1.0,7.0,39.0,20.0,9.0,16.666666666666664
2.0,1.0,33.0,24.0,6.0,33.33333333333333,3.0,2.0,50.0,26.0,3.0,61.53846153846154
0.0,2.0,79.0,44.0,9.0,53.333333333333336,0.0,3.0,66.0,29.0,14.0,25.0
1.0,1.0,70.0,46.0,15.0,72.72727272727273,2.0,3.0,57.0,40.0,18.0,33.33333333333333
1.0,2.0,39.0,28.0,8.0,50.0,1.0,1.0,36.0,18.0,9.0,44.44444444444444
2.0,3.0,25.0,23.0,6.0,,3.0,3.0,30.0,15.0,9.0,50.0
2.0,1.0,43.0,29.0,18.0,81.81818181818183,0.0,0.0,31.0,17.0,16.0,0.0
4.0,2.0,56.0,34.0,6.0,37.5,1.0,6.0,48.0,29.0,6.0,45.45454545454545
3.0,0.0,38.0,24.0,14.0,50.0,1.0,1.0,29.0,13.0,13.0,58.333333333333336
1.0,3.0,31.0,24.0,13.0,75.0,0.0,1.0,27.0,16.0,8.0,50.0
2.0,5.0,59.0,39.0,16.0,42.857142857142854,6.0,6.0,63.0,37.0,19.0,73.33333333333333
4.0,0.0,48.0,31.0,13.0,83.33333333333334,4.0,3.0,35.0,21.0,7.0,0.0
13.0,2.0,37.0,29.0,17.0,75.0,3.0,6.0,44.0,29.0,9.0,62.5
5.0,5.0,65.0,48.0,16.0,50.0,3.0,5.0,64.0,41.0,19.0,42.857142857142854
2.0,5.0,35.0,29.0,7.0,0.0,0.0,4.0,22.0,14.0,13.0,42.857142857142854
6.0,0.0,53.0,38.0,9.0,66.66666666666666,2.0,2.0,43.0,29.0,20.0,50.0
0.0,0.0,47.0,29.0,10.0,75.0,0.0,6.0,32.0,16.0,12.0,58.333333333333336
6.0,0.0,24.0,23.0,5.0,,0.0,5.0,24.0,11.0,5.0,44.44444444444444
3.0,2.0,41.0,26.0,9.0,25.0,1.0,0.0,41.0,22.0,6.0,37.5
1.0,3.0,53.0,39.0,13.0,50.0,0.0,4.0,51.0,34.0,12.0,37.5
16.0,5.0,47.0,37.0,17.0,33.33333333333333,1.0,3.0,40.0,25.0,17.0,53.333333333333336
1.0,2.0,36.0,28.0,6.0,75.0,1.0,2.0,34.0,16.0,5.0,28.57142857142857
4.0,6.0,58.0,30.0,22.0,66.66666666666666,3.0,1.0,55.0,33.0,13.0,58.333333333333336
2.0,1.0,27.0,20.0,4.0,66.66666666666666,2.0,3.0,31.0,16.0,8.0,50.0
1.0,5.0,71.0,49.0,16.0,25.0,8.0,10.0,70.0,48.0,20.0,46.15384615384615
1.0,2.0,25.0,20.0,8.0,0.0,0.0,1.0,44.0,24.0,2.0,54.54545454545454
0.0,2.0,53.0,33.0,6.0,77.77777777777779,0.0,3.0,36.0,16.0,4.0,45.45454545454545
1.0,2.0,27.0,20.0,6.0,50.0,1.0,0.0,28.0,10.0,4.0,40.0
2.0,2.0,42.0,31.0,12.0,80.0,0.0,1.0,27.0,18.0,7.0,0.0
5.0,0.0,30.0,22.0,10.0,,1.0,2.0,43.0,23.0,7.0,66.66666666666666
5.0,0.0,36.0,27.0,12.0,100.0,3.0,1.0,38.0,22.0,10.0,62.5
3.0,4.0,64.0,43.0,19.0,75.0,1.0,5.0,58.0,40.0,15.0,58.333333333333336
1.0,0.0,43.0,26.0,4.0,33.33333333333333,1.0,3.0,29.0,13.0,3.0,25.0
